time_ms,pwm,rpm
320,255,38.095
340,255,95.238
360,255,152.381
380,255,209.524
400,255,238.095
420,255,295.238
440,255,314.286
460,255,361.905
480,255,371.429
500,255,428.571
520,255,419.048
540,255,476.190
560,255,466.667
580,255,514.286
600,255,495.238
620,255,542.857
640,255,533.333
660,255,571.429
680,255,590.476
700,255,561.905
720,255,600.000
740,255,590.476
760,255,619.048
780,255,609.524
800,255,638.095
820,255,609.524
840,255,657.143
860,255,619.048
880,255,666.667
900,255,638.095
920,255,666.667
940,255,647.619
960,255,685.714
980,255,685.714
1000,255,647.619
1020,255,695.238
1040,255,657.143
1060,255,704.762
1080,255,657.143
1100,255,704.762
1120,255,666.667
1140,255,714.286
1160,255,666.667
1180,255,704.762
1200,255,685.714
1220,255,704.762
1240,255,676.190
1260,255,714.286
1280,255,685.714
1300,255,714.286
1320,255,714.286
1340,255,685.714
1360,255,714.286
1380,255,685.714
1400,255,714.286
1420,255,685.714
1440,255,723.809
1460,255,685.714
1480,255,723.809
1500,255,685.714
1520,255,723.809
1540,255,685.714
1560,255,723.809
1580,255,685.714
1600,255,723.809
1620,255,723.809
1640,255,685.714
1660,255,723.809
1680,255,695.238
1700,255,723.809
1720,255,695.238
1740,255,723.809
1760,255,695.238
1780,255,723.809
1800,255,685.714
1820,255,733.333
1840,255,685.714
1860,255,723.809
1880,255,695.238
1900,255,723.809
1920,255,695.238
1940,255,733.333
1960,255,723.809
1980,255,695.238
2000,255,723.809
2020,255,685.714
2040,255,733.333
2060,255,695.238
2080,255,733.333
2100,255,685.714
2120,255,733.333
2140,255,685.714
2160,255,733.333
2180,255,695.238
2200,255,723.809
2220,255,695.238
2240,255,733.333
2260,255,723.809
2280,255,695.238
2300,255,733.333
2320,255,695.238
2340,255,723.809
2360,255,695.238
2380,255,733.333
2400,255,685.714
2420,255,733.333
2440,255,695.238
2460,255,733.333
2480,255,685.714
2500,255,733.333
2520,255,695.238
2540,255,733.333
2560,255,695.238
2580,255,723.809
2600,255,733.333
2620,255,695.238
2640,255,723.809
2660,255,695.238
2680,255,733.333
2700,255,695.238
2720,255,723.809
2740,255,695.238
2760,255,733.333
2780,255,695.238
2800,255,723.809
2820,255,695.238
2840,255,723.809
2860,255,695.238
2880,255,733.333
2900,255,733.333
2920,255,685.714
2940,255,733.333
2960,255,695.238
2980,255,723.809
3000,255,695.238
3020,255,733.333
3040,255,685.714
3060,255,733.333
3080,255,695.238
3100,255,723.809
3120,255,695.238
3140,255,733.333
3160,255,685.714
3180,255,733.333
3200,255,685.714
3220,255,733.333
3240,255,733.333
3260,255,695.238
3280,255,723.809
3300,255,695.238
3320,255,723.809
3340,255,695.238
3360,255,733.333
3380,255,695.238
3400,255,723.809
3420,255,695.238
3440,255,723.809
3460,255,695.238
3480,255,733.333
3500,255,695.238
3520,255,723.809
3540,255,733.333
3560,255,685.714
3580,255,733.333
3600,255,695.238
3620,255,733.333
3640,255,685.714
3660,255,723.809
3680,255,695.238
3700,255,733.333
3720,255,685.714
3740,255,733.333
3760,255,695.238
3780,255,723.809
3800,255,685.714
3820,255,733.333
3840,255,685.714
3860,255,733.333
3880,255,723.809
3900,255,695.238
3920,255,723.809
3940,255,695.238
3960,255,723.809
3980,255,695.238
4000,255,723.809
4020,255,695.238
4040,255,723.809
4060,255,695.238
4080,255,723.809
4100,255,695.238
4120,255,723.809
4140,255,685.714
4160,255,733.333
4180,255,723.809
4200,255,695.238
4220,255,723.809
4240,255,695.238
4260,255,723.809
4280,255,695.238
4300,255,723.809
4320,255,685.714
4340,255,723.809
4360,255,695.238
4380,255,723.809
4400,255,695.238
4420,255,723.809
4440,255,685.714
4460,255,733.333
4480,255,685.714
4500,255,723.809
4520,255,723.809
4540,255,685.714
4560,255,733.333
4580,255,685.714
4600,255,723.809
4620,255,685.714
4640,255,723.809
4660,255,685.714
4680,255,723.809
4700,255,695.238
4720,255,723.809
4740,255,685.714
4760,255,723.809
4780,255,685.714
4800,255,723.809
4820,255,723.809
4840,255,685.714
4860,255,723.809
4880,255,685.714
4900,255,723.809
4920,255,695.238
4940,255,723.809
4960,255,685.714
4980,255,723.809
5000,255,685.714
5020,255,723.809
5040,255,685.714
5060,255,723.809
5080,255,685.714
5100,255,723.809
5120,255,685.714
5140,255,723.809
5160,255,723.809
5180,255,685.714
5200,255,723.809
5220,255,685.714
5240,255,723.809
5260,255,685.714
5280,255,723.809
5300,255,695.238
5320,255,723.809
5340,255,685.714
5360,255,723.809
5380,255,685.714
5400,255,723.809
5420,255,685.714
5440,255,723.809
5460,255,723.809
5480,255,685.714
5500,255,723.809
5520,255,695.238
5540,255,723.809
5560,255,685.714
5580,255,723.809
5600,255,685.714
5620,255,723.809
5640,255,685.714
5660,255,723.809
5680,255,685.714
5700,255,723.809
5720,255,685.714
5740,255,723.809
5760,255,685.714
5780,255,723.809
5800,255,723.809
5820,255,685.714
5840,255,723.809
5860,255,685.714
5880,255,723.809
5900,255,685.714
5920,255,723.809
5940,255,685.714
5960,255,723.809
5980,255,685.714
6000,255,723.809
6020,255,685.714
6040,255,723.809
6060,255,685.714
6080,255,723.809
6100,255,723.809
6120,255,685.714
6140,255,723.809
6160,255,685.714
6180,255,723.809
6200,255,685.714
6220,255,723.809
6240,255,685.714
6260,255,723.809
6280,255,685.714
6300,255,723.809
